Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Card Payment,Current,31/01/2026 14:39,2026-02-01 08:28:47,Pembroke Lodge,-6.7,0,GBP,COMPLETED,84.16
Card Payment,Current,31/01/2026 14:06,2026-02-01 09:47:46,AutoTrader,-4.95,0,GBP,COMPLETED,79.21
Card Payment,Current,31/01/2026 16:45,2026-02-01 09:52:48,Nando's,-33,0,GBP,COMPLETED,46.21
Card Payment,Current,31/01/2026 17:27,2026-02-01 09:55:47,Nando's,-5.75,0,GBP,COMPLETED,40.46
Card Payment,Current,31/01/2026 16:25,2026-02-01 10:33:16,RingGo,-4.7,0,GBP,COMPLETED,35.76
Card Payment,Current,31/01/2026 13:04,2026-02-01 10:37:39,Tesco,-35.61,0,GBP,COMPLETED,0.15
Transfer,Current,01/02/2026 15:41,2026-02-01 15:41:10,Pocket Withdrawal,5,0,GBP,COMPLETED,5.15
Transfer,Current,01/02/2026 15:42,2026-02-01 15:42:06,Pocket Withdrawal,5,0,GBP,COMPLETED,10.15
Topup,Current,01/02/2026 16:39,2026-02-01 16:40:02,Top-up by *4787,21,0,GBP,COMPLETED,31.15
Transfer,Current,01/02/2026 16:59,2026-02-01 16:59:22,Pocket Withdrawal,7.25,0,GBP,COMPLETED,38.4
Transfer,Current,01/02/2026 19:55,2026-02-01 19:55:12,Pocket Withdrawal,7,0,GBP,COMPLETED,45.4
Card Payment,Current,01/02/2026 16:59,2026-02-02 08:32:47,Nando's,-7.25,0,GBP,COMPLETED,38.15
Card Payment,Current,01/02/2026 15:42,2026-02-02 12:16:07,Tenpin,-10,0,GBP,COMPLETED,28.15
Card Payment,Current,01/02/2026 16:40,2026-02-02 12:23:09,Nando's,-20.75,0,GBP,COMPLETED,7.4
Card Payment,Current,01/02/2026 19:55,2026-02-02 12:52:00,The Atrium,-7,0,GBP,COMPLETED,0.4
Transfer,Current,02/02/2026 14:43,2026-02-02 14:43:14,Pocket Withdrawal,74,0,GBP,COMPLETED,74.4
Card Payment,Current,02/02/2026 14:43,2026-02-03 12:06:01,Tesco,-73.52,0,GBP,COMPLETED,0.88
Transfer,Current,05/02/2026 18:33,2026-02-05 18:33:29,Pocket Withdrawal,8,0,GBP,COMPLETED,8.88
Transfer,Current,05/02/2026 18:33,2026-02-05 18:33:42,To pocket GBP Oszczędności from GBP,-1.2,0,GBP,COMPLETED,7.68
