Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Transfer,Current,2026-01-01 11:03:00,2026-01-01 11:03:00,To pocket GBP Oszczędności from GBP,-0.86,0,GBP,COMPLETED,40.48
Transfer,Current,2026-01-01 11:14:00,2026-01-01 11:14:00,To pocket GBP Oszczędności from GBP,-1.3,0,GBP,COMPLETED,39.18
Transfer,Current,2026-01-01 15:01:00,2026-01-01 15:01:00,To pocket GBP Oszczędności from GBP,-0.12,0,GBP,COMPLETED,39.06
Transfer,Current,2026-01-02 08:28:00,2026-01-02 08:28:00,To pocket GBP Oszczędności from GBP,-1.06,0,GBP,COMPLETED,38
Transfer,Current,2026-01-02 13:35:00,2026-01-02 13:35:00,To pocket GBP Oszczędności from GBP,-1.1,0,GBP,COMPLETED,36.9
Card Payment,Current,2026-01-01 11:14:00,2026-01-02 13:36:00,KFC,-9.35,0,GBP,COMPLETED,27.55
Card Payment,Current,2026-01-01 11:03:00,2026-01-02 13:45:00,Krolestwo Pocztowek,-4.57,0,GBP,COMPLETED,22.98
Card Payment,Current,2026-01-01 15:01:00,2026-01-02 13:47:00,Kafferia,-0.94,0,GBP,COMPLETED,22.04
Transfer,Current,2026-01-02 17:06:00,2026-01-02 17:06:00,Pocket Withdrawal,4,0,GBP,COMPLETED,26.04
Transfer,Current,2026-01-02 17:07:00,2026-01-02 17:07:00,Pocket Withdrawal,0,0,GBP,COMPLETED,28.04
Transfer,Current,2026-01-02 17:07:00,2026-01-02 17:07:00,To pocket GBP Oszczędności from GBP,-0.02,0,GBP,COMPLETED,
Transfer,Current,2026-01-02 19:37:00,2026-01-02 19:37:00,Pocket Withdrawal,17,0,GBP,COMPLETED,45.02
Card Payment,Current,2026-01-02 19:38:00,2026-01-03 14:34:00,Deliveroo,-16.88,0,GBP,COMPLETED,28.14
Transfer,Current,2026-01-03 14:40:00,2026-01-03 14:40:00,Pocket Withdrawal,69,0,GBP,COMPLETED,97.14
Card Payment,Current,2026-01-02 08:28:00,2026-01-03 15:52:00,RELAY,-2.47,0,GBP,COMPLETED,94.67
Topup,Current,2026-01-03 18:48:00,2026-01-03 18:48:00,Top-up by *4787,130,0,GBP,COMPLETED,224.67
Transfer,Current,2026-01-04 09:13:00,2026-01-04 09:13:00,Pocket Withdrawal,24,0,GBP,COMPLETED,248.67
Card Payment,Current,2026-01-02 13:35:00,2026-01-04 09:15:00,Costa Coffee,-11.45,0,GBP,COMPLETED,237.22
Card Payment,Current,2026-01-03 18:49:00,2026-01-04 09:18:00,Marks & Spencer,-130,0,GBP,COMPLETED,107.22
Card Payment,Current,2026-01-03 14:40:00,2026-01-04 09:45:00,Tesco,-68.67,0,GBP,COMPLETED,38.55
Transfer,Current,2026-01-04 10:27:00,2026-01-04 10:27:00,Pocket Withdrawal,6,0,GBP,COMPLETED,44.55
Transfer,Current,2026-01-04 10:28:00,2026-01-04 10:28:00,To pocket GBP Oszczędności from GBP,-0.2,0,GBP,COMPLETED,44.35
Transfer,Current,2026-01-04 10:45:00,2026-01-04 10:45:00,Pocket Withdrawal,13,0,GBP,COMPLETED,57.35
Transfer,Current,2026-01-04 10:48:00,2026-01-04 10:48:00,Pocket Withdrawal,13,0,GBP,COMPLETED,70.35
Transfer,Current,2026-01-04 10:48:00,2026-01-04 10:48:00,To pocket GBP Subscriptions from GBP,-13,0,GBP,COMPLETED,57.35
Transfer,Current,2026-01-04 12:21:00,2026-01-04 12:21:00,Pocket Withdrawal,26,0,GBP,COMPLETED,83.35
Transfer,Current,2026-01-04 12:21:00,2026-01-04 12:21:00,To pocket GBP Oszczędności from GBP,-0.4,0,GBP,COMPLETED,82.95
Transfer,Current,2026-01-04 13:48:00,2026-01-04 13:48:00,Pocket Withdrawal,6,0,GBP,COMPLETED,88.95
Card Payment,Current,2026-01-02 17:07:00,2026-01-04 14:10:00,Steam,-13.99,0,GBP,COMPLETED,74.96
Transfer,Current,2026-01-04 14:35:00,2026-01-04 14:35:00,Pocket Withdrawal,4,0,GBP,COMPLETED,78.96
